Rhydon, Jolteon, Magneton, Charmander, Poliwhirl, Charmeleon, Dragonite, Krabby, Kingler, Gengar, Wigglytuff, Venomoth, 26.6536352634, 2, 668.07460982, 65.0446737162, Dragonite, Exeggutor, Rhydon, Golem, Golem, Dragonite, 25.8380432129, 4, 531.58090703, 62.1838546277, Seaking, Rhydon, Tangela, Golem, Machop, Rhyhorn, 37.7585937977, 3, 506.69080836, 55.3300088706
Hitmonlee, Tauros, Nidoqueen, Kabutops, Gloom, Venomoth, Gyarados, Horsea, Machamp, Lickitung, Haunter, Blastoise, 26.7566969395, 1, 848.36141138, 90.6431253565, Dragonite, Dragonite, Lapras, Gyarados, Dragonite, Moltres, 26.0827429295, 4, 565.8220074, 71.150571021, Charizard, Kingler, Omastar, Dragonite, Slowbro, Venusaur, 37.9742150307, 3, 566.90190773, 69.1711268986
Golduck, Poliwhirl, Charmander, Ekans, Dodrio, Exeggcute, Jolteon, Jolteon, Hitmonchan, Persian, Blastoise, Doduo, 27.0078690052, 5, 263.34680356, 40.6778129187, Machamp, Dragonite, Jolteon, Dragonite, Jolteon, Scyther, 26.1960167885, 5, 348.47380446, 45.1753553502, Zapdos, Arcanine, Haunter, Nidoking, Aerodactyl, Machamp, 38.2370855808, 5, 348.89320444, 49.8038809525
Marowak, Abra, Koffing, Clefable, Krabby, Nidoqueen, Moltres, Dratini, Exeggutor, Rhydon, Kangaskhan, Flareon, 27.783383131, 3, 479.48110837, 59.2849050246, Gyarados, Dragonite, Dragonite, Dragonite, Dragonite, Dragonite, 27.0819535255, 5, 336.58650455, 51.8646696923, Vaporeon, Dragonite, Dragonite, Articuno, Flareon, Geodude, 39.1612637043, 4, 419.8220074, 59.294606976
Raichu, Poliwrath, Flareon, Squirtle, Dratini, Fearow, Dragonite, Articuno, Gengar, Kadabra, Pikachu, Eevee, 26.6323826313, 1, 729.33141038, 72.3036414894, Dragonite, Dragonite, Dragonite, Dragonite, Dragonite, Dragonite, 25.8062767982, 4, 409.08160672, 51.3184527591, Alakazam, Electabuzz, Raichu, Jolteon, Staryu, Poliwhirl, 37.8267383575, 3, 522.93610687, 54.4849132169
Cloyster, Exeggcute, Charmeleon, Wigglytuff, Marowak, Kingler, Tentacruel, Zubat, Slowbro, Grimer, Poliwag, Magneton, 29.5704624653, 0, 840.08891063, 86.1713572603, Flareon, Moltres, Gyarados, Dragonite, Dragonite, Dragonite, 28.8200936317, 4, 438.67930631, 69.0065248559, Tauros, Dragonite, Gyarados, Moltres, Snorlax, Kangaskhan, 40.6970210075, 4, 458.48530651, 69.1055544764
Slowpoke, Hitmonlee, Ivysaur, Magmar, Shellder, Tentacruel, Alakazam, Gastly, Rhydon, Oddish, Weepinbell, Horsea, 28.5150740147, 3, 468.71070669, 57.6610483026, Dragonite, Dragonite, Dragonite, Dragonite, Dragonite, Rhydon, 27.7585999966, 4, 356.08160672, 54.569380146, Kadabra, Flareon, Golem, Hitmonchan, Exeggutor, Kingler, 39.7325603962, 4, 399.37540518, 59.4479793806
Arcanine, Exeggutor, Shellder, Bellsprout, Golem, Charizard, Dragonite, Lapras, Meowth, Cloyster, Machop, Sandslash, 28.3866853714, 0, 937.29581186, 85.2870604229, Dragonite, Dragonite, Snorlax, Gyarados, Gyarados, Gyarados, 27.636838913, 3, 654.26721024, 68.0129811268, Dragonite, Vileplume, Seaking, Arcanine, Lickitung, Seaking, 39.5413682461, 3, 600.38410847, 61.5945384898
Vileplume, Kabuto, Tauros, Seel, Wartortle, Golem, Dragonite, Meowth, Spearow, Kabutops, Venusaur, Nidoqueen, 28.6524436474, 2, 615.77070869, 71.593161459, Dragonite, Dragonite, Machamp, Dragonite, Machamp, Venusaur, 27.8674440384, 4, 422.5010067, 57.136387606, Arcanine, Dragonite, Exeggutor, Hitmonchan, Golduck, Porygon, 39.717001915, 4, 466.03310677, 58.9573705316
Porygon, Cloyster, Charmeleon, Weepinbell, Bellsprout, Electrode, Jolteon, Meowth, Alakazam, Fearow, Flareon, Meowth, 28.6641147137, 2, 528.9490083, 50.6386354261, Machamp, Lapras, Slowbro, Dragonite, Dragonite, Rhydon, 27.8849539757, 4, 538.77350745, 54.8876212119, Raichu, Dragonite, Poliwrath, Kadabra, Snorlax, Ninetales, 40.0822534561, 4, 463.82480616, 51.1805748861
Golduck, Haunter, Pidgey, Vileplume, Machoke, Cloyster, Exeggutor, Primeape, Alakazam, Dewgong, Machop, Golbat, 28.8298690319, 3, 518.91760792, 61.4368271807, Dragonite, Dragonite, Articuno, Moltres, Moltres, Moltres, 28.0216493607, 4, 507.5010067, 69.0354322621, Fearow, Mr. Mime, Alakazam, Rapidash, Pinsir, Chansey, 40.11653018, 3, 485.27560652, 58.2490715622
