Muk, Meowth, Psyduck, Dugtrio, Tentacool, Dragonite, Dragonite, Slowpoke, Dragonite, Nidoran, Fearow, Vileplume, 14.5559689999, 4, 505.5010067, 55.2489109197, Dragonite, Dragonite, Dragonite, Dragonite, Lapras, Articuno, 14.0728611946, 4, 380.08160672, 47.7839944881, Articuno, Victreebel, Cloyster, Articuno, Dragonite, Krabby, 19.6236877441, 4, 447.58370579, 61.7621643015
Magnemite, Flareon, Pinsir, Seaking, Seadra, Tentacool, Dragonite, Primeape, Pikachu, Poliwrath, Staryu, Golduck, 13.4329242706, 2, 633.19010867, 78.1567201242, Dragonite, Dragonite, Gyarados, Dragonite, Dragonite, Dragonite, 13.0145113468, 4, 382.61370679, 57.2885341601, Dragonite, Gyarados, Venusaur, Dragonite, Hitmonchan, Magmar, 18.2949924469, 4, 418.5980066, 64.6185903978
Slowbro, Kabuto, Pinsir, Poliwhirl, Charmeleon, Meowth, Dragonite, Tangela, Rhyhorn, Venusaur, Kabuto, Poliwrath, 13.7528045177, 2, 673.18870929, 69.0348336043, Pinsir, Jolteon, Charizard, Gyarados, Dragonite, Dragonite, 13.3466484547, 4, 414.19710557, 52.1017827939, Pinsir, Dragonite, Dragonite, Dragonite, Omastar, Zapdos, 18.7660381794, 5, 312.70060402, 49.578387549
Farfetch'd, Gloom, Bulbasaur, Kabuto, Gengar, Parasect, Dragonite, Slowbro, Venusaur, Oddish, Seaking, Rhyhorn, 14.3770151138, 4, 396.5980066, 48.0695368999, Lapras, Flareon, Snorlax, Snorlax, Jolteon, Lapras, 13.9861598015, 4, 550.09450815, 63.567586888, Moltres, Dragonite, Dragonite, Arbok, Dragonite, Hypno, 19.2416424751, 5, 308.47380446, 46.8659993713
Dodrio, Gastly, Clefairy, Poliwhirl, Hypno, Exeggutor, Dragonite, Pidgeotto, Pidgeot, Raichu, Victreebel, Clefable, 14.737262249, 3, 601.64370779, 66.3883403846, Dragonite, Dragonite, Dragonite, Gyarados, Arcanine, Snorlax, 14.3543598652, 5, 350.05440448, 50.082539016, Dragonite, Dragonite, Dragonite, Dragonite, Gyarados, Moltres, 19.6567130089, 5, 350.05440448, 50.082539016
Kabuto, Venusaur, Moltres, Raticate, Magneton, Meowth, Dragonite, Jigglypuff, Dugtrio, Machoke, Sandshrew, Weepinbell, 12.8825740814, 2, 717.96190973, 69.2628451538, Dragonite, Dragonite, Dragonite, Golem, Dragonite, Golem, 12.4149348736, 4, 368.08160672, 56.4179623215, Dragonite, Dragonite, Poliwrath, Flareon, Rhydon, Slowpoke, 17.9703276157, 4, 369.5010067, 56.7269673307
Kabuto, Voltorb, Onix, Mankey, Kabutops, Bellsprout, Tauros, Staryu, Pidgey, Ekans, Farfetch'd, Machoke, 12.8391227722, 1, 696.93050935, 75.0032422922, Electrode, Vileplume, Omastar, Snorlax, Jolteon, Lapras, 12.3508534431, 5, 278.24980366, 50.1426739966, Venusaur, Machamp, Blastoise, Koffing, Raichu, Nidoqueen, 17.8000488281, 5, 207.45810427, 36.4522089022
Drowzee, Ekans, Cubone, Staryu, Goldeen, Omastar, Tauros, Sandslash, Tangela, Wartortle, Chansey, Articuno, 12.6534466743, 4, 385.4710057, 64.3203306904, Doduo, Vileplume, Nidoqueen, Tauros, Chansey, Exeggcute, 12.2194106579, 3, 506.8220074, 65.7966792519, Dragonite, Venusaur, Victreebel, Venonat, Gloom, Growlithe, 17.643730402, 5, 197.03870429, 42.1209098083
Geodude, Pidgeot, Vulpix, Exeggcute, Exeggcute, Blastoise, Dragonite, Weepinbell, Ninetales, Psyduck, Bellsprout, Snorlax, 14.3982350826, 2, 619.68940898, 67.9532879295, Golem, Dragonite, Moltres, Charizard, Lapras, Pinsir, 13.9788479805, 5, 307.03870429, 50.8627117993, Gyarados, Moltres, Dragonite, Dragonite, Primeape, Jolteon, 19.4357049465, 4, 380.03310677, 53.34974876
Pidgeot, Poliwrath, Onix, Haunter, Arbok, Kingler, Jolteon, Nidorino, Oddish, Oddish, Parasect, Jynx, 14.0516855717, 0, 776.86490983, 76.6259893557, Jolteon, Slowbro, Slowbro, Snorlax, Jolteon, Gyarados, 13.6930356026, 3, 510.44550985, 59.2144132483, Jolteon, Electrode, Gyarados, Gyarados, Alakazam, Squirtle, 19.0015661716, 3, 511.1430081, 76.6505455931
Cloyster, Raticate, Psyduck, Haunter, Diglett, Pidgey, Tauros, Ekans, Kingler, Drowzee, Golem, Exeggcute, 12.9365484715, 2, 528.07740858, 60.2189755626, Ninetales, Vileplume, Nidoqueen, Snorlax, Jolteon, Lapras, 12.4422035217, 4, 404.0830061, 57.0231700227, Poliwrath, Dragonite, Jynx, Krabby, Beedrill, Dratini, 17.9651384354, 5, 264.47380446, 41.115167501
