Weezing, Jynx, Koffing, Chansey, Horsea, Graveler, Tauros, Aerodactyl, Magnemite, Porygon, Vileplume, Krabby, 2.78772616386, 2, 597.83490883, 96.6609322745, Rapidash, Snorlax, Omastar, Tauros, Jolteon, Exeggcute, 2.72125411034, 4, 540.1130071, 93.3263666177, Moltres, Moltres, Venusaur, Pinsir, Goldeen, Seaking, 3.00914955139, 4, 401.90470649, 67.7166554465
Dragonite, Pidgey, Onix, Charmander, Golem, Spearow, Nidorino, Seaking, Golduck, Tentacruel, Poliwrath, Poliwag, 2.83670401573, 2, 733.62241008, 74.2394444625, Lapras, Vaporeon, Gyarados, Dragonair, Kabutops, Horsea, 2.7534995079, 4, 464.09450815, 49.8339425407, Cloyster, Dragonite, Victreebel, Golduck, Vileplume, Venonat, 3.08567428589, 4, 387.16430581, 44.8431236972
Paras, Jolteon, Exeggcute, Meowth, Bulbasaur, Pikachu, Victreebel, Golbat, Tentacruel, Bulbasaur, Dodrio, Gloom, 2.95784044266, 4, 464.92180606, 55.3225634397, Electrode, Oddish, Omastar, Snorlax, Diglett, Lapras, 2.68879985809, 3, 549.80350845, 66.9340966698, Nidoqueen, Flareon, Moltres, Dugtrio, Articuno, Slowbro, 2.86193227768, 5, 257.120004, 43.4629590344
Paras, Tentacool, Farfetch'd, Clefairy, Machop, Gastly, Horsea, Horsea, Kingler, Nidorino, Tauros, Lapras, 2.36782860756, 2, 455.20860762, 66.7675830782, Doduo, Oddish, Omastar, Tauros, Chansey, Lapras, 2.28596115112, 3, 394.27560652, 55.1288007959, Dragonite, Dragonite, Rapidash, Machoke, Raticate, Shellder, 2.55844593048, 6, 156.02720224, 32.5881838779
Marowak, Weezing, Clefable, Nidoran, Snorlax, Rhyhorn, Snorlax, Aerodactyl, Seadra, Omastar, Poliwhirl, Vulpix, 2.6906774044, 3, 690.68940898, 92.0594949601, Dewgong, Chansey, Rhydon, Snorlax, Hitmonchan, Exeggcute, 2.60189795494, 3, 1001.82511317, 125.842909272, Dragonite, Tauros, Moltres, Exeggutor, Nidoking, Chansey, 2.88359332085, 4, 492.37260642, 81.6489350852
Dragonair, Squirtle, Zubat, Nidorino, Aerodactyl, Rattata, Horsea, Moltres, Paras, Horsea, Nidoqueen, Dugtrio, 2.56267595291, 2, 618.40120804, 66.247532691, Ninetales, Oddish, Nidoqueen, Voltorb, Chansey, Exeggcute, 2.45732617378, 2, 631.61821194, 85.8835921125, Dragonite, Jolteon, Dragonite, Sandslash, Magmar, Slowbro, 2.80917358398, 5, 233.70060402, 34.9641329936
Beedrill, Rapidash, Machop, Golduck, Sandslash, Staryu, Rhydon, Dugtrio, Lapras, Haunter, Vileplume, Hitmonchan, 2.69257283211, 2, 640.25151005, 71.9356587782, Golduck, Vileplume, Moltres, Snorlax, Chansey, Lapras, 2.58949494362, 3, 624.01040968, 73.9966293695, Dragonite, Dragonite, Omastar, Lapras, Lapras, Nidoqueen, 2.86957216263, 5, 338.05440448, 50.4822543956
Porygon, Exeggcute, Weezing, Vileplume, Mr. Mime, Cloyster, Flareon, Scyther, Vileplume, Electabuzz, Tangela, Dragonair, 3.02138352394, 3, 555.03170739, 64.943456782, Dragonite, Venomoth, Moltres, Snorlax, Vaporeon, Lapras, 2.86967110634, 3, 532.91340978, 69.0550108675, Golem, Ninetales, Nidoking, Gastly, Lapras, Abra, 3.16946101189, 2, 666.78361012, 84.8935363694
Dugtrio, Dragonair, Ponyta, Wigglytuff, Clefable, Charmander, Raticate, Bulbasaur, Tauros, Seel, Fearow, Tangela, 2.75543236732, 1, 778.17021034, 88.5461710581, Golem, Vileplume, Omastar, Jigglypuff, Chansey, Lapras, 2.76318669319, 2, 838.64681356, 92.7573716716, Dragonite, Rhydon, Dragonite, Dragonite, Weezing, Voltorb, 2.94660568237, 5, 320.02160472, 47.8953570924
Mr. Mime, Alakazam, Rapidash, Rhydon, Dragonite, Lickitung, Goldeen, Ivysaur, Rhydon, Pinsir, Articuno, Articuno, 2.61571931839, 1, 930.92491183, 86.7073302964, Seaking, Gyarados, Gyarados, Bulbasaur, Articuno, Golbat, 2.52651619911, 2, 773.58961032, 77.4082315077, Pidgeot, Dragonite, Lapras, Gyarados, Scyther, Exeggcute, 2.80181312561, 2, 810.10321144, 78.759183435
Goldeen, Tentacool, Slowpoke, Mankey, Venusaur, Venonat, Psyduck, Poliwag, Scyther, Machoke, Lapras, Dewgong, 2.708953619, 2, 557.38130971, 75.0453951671, Doduo, Vileplume, Nidoqueen, Tauros, Chansey, Exeggcute, 2.63085341454, 3, 472.8220074, 62.2026949824, Dragonite, Dragonite, Dragonite, Kingler, Seel, Kabuto, 2.87284994125, 5, 209.05440448, 42.9012851988
Magmar, Clefable, Omastar, Slowpoke, Farfetch'd, Psyduck, Snorlax, Cubone, Goldeen, Golem, Zubat, Rhydon, 2.80826926231, 1, 883.48841228, 93.961844204, Sandslash, Vaporeon, Omastar, Voltorb, Kabutops, Exeggcute, 2.72802042961, 2, 666.4940098, 94.3547124614, Dragonite, Jolteon, Jolteon, Jolteon, Jolteon, Fearow, 2.91801714897, 5, 289.70060402, 46.9347332539
Nidoqueen, Gastly, Articuno, Victreebel, Staryu, Charmeleon, Kangaskhan, Rattata, Raticate, Muk, Blastoise, Ponyta, 2.67463803291, 1, 796.24871129, 95.252827059, Tauros, Snorlax, Moltres, Snorlax, Chansey, Lapras, 2.61283373833, 3, 615.65241108, 78.1021033425, Gyarados, Lapras, Moltres, Zapdos, Lickitung, Ekans, 2.8912756443, 4, 551.77350745, 69.1573270785
Tangela, Squirtle, Goldeen, Meowth, Omanyte, Doduo, Psyduck, Charmeleon, Venonat, Ivysaur, Sandslash, Nidorino, 2.42041730881, 2, 559.91620854, 61.6066158488, Doduo, Oddish, Nidoqueen, Voltorb, Diglett, Lapras, 2.33966946602, 2, 547.53240708, 62.9111253913, Dragonite, Dragonite, Flareon, Snorlax, Ponyta, Tauros, 2.53025770187, 6, 168.02720224, 36.5605333615
Magnemite, Arcanine, Paras, Kingler, Machoke, Hitmonlee, Golem, Jolteon, Tangela, Lickitung, Electabuzz, Charmander, 2.79223442078, 4, 429.35830561, 50.614682153, Golem, Snorlax, Moltres, Snorlax, Jolteon, Exeggcute, 2.69911456108, 4, 534.11160772, 58.6037780362, Rhydon, Dragonite, Dragonite, Muk, Butterfree, Meowth, 2.98141026497, 4, 380.04880696, 51.0487519737
Machoke, Zubat, Clefable, Zubat, Clefable, Wigglytuff, Lapras, Rapidash, Primeape, Growlithe, Nidoran, Koffing, 2.78405618668, 1, 833.63671089, 90.6897131831, Electrode, Weezing, Omastar, Snorlax, Diglett, Lapras, 2.70378184319, 3, 573.4640088, 85.4930040202, Alakazam, Dragonite, Dragonite, Golem, Bulbasaur, Shellder, 2.97914242744, 5, 268.26550385, 44.2100680798
